ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION,Interval Start,Settlement Point Price,COST
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 00:00:00,00:15,2.676,A,Consumption,2025-07-06 00:00:00,0.03089,0.08266164000000001
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 00:15:00,00:30,3.072,A,Consumption,2025-07-06 00:15:00,0.028210000000000002,0.08666112000000001
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 00:30:00,00:45,2.884,A,Consumption,2025-07-06 00:30:00,0.02666,0.07688744
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 00:45:00,01:00,2.812,A,Consumption,2025-07-06 00:45:00,0.026449999999999998,0.0743774
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 01:00:00,01:15,2.624,A,Consumption,2025-07-06 01:00:00,0.02583,0.06777792
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 01:15:00,01:30,2.656,A,Consumption,2025-07-06 01:15:00,0.02573,0.06833888
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 01:30:00,01:45,2.848,A,Consumption,2025-07-06 01:30:00,0.02693,0.07669664
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 01:45:00,02:00,2.632,A,Consumption,2025-07-06 01:45:00,0.02684,0.07064288
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 02:00:00,02:15,2.684,A,Consumption,2025-07-06 02:00:00,0.02684,0.07203856
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 02:15:00,02:30,2.82,A,Consumption,2025-07-06 02:15:00,0.026420000000000003,0.0745044
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 02:30:00,02:45,2.476,A,Consumption,2025-07-06 02:30:00,0.027280000000000002,0.06754528
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 02:45:00,03:00,2.62,A,Consumption,2025-07-06 02:45:00,0.02686,0.0703732
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 03:00:00,03:15,2.652,A,Consumption,2025-07-06 03:00:00,0.02702,0.07165704
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 03:15:00,03:30,2.592,A,Consumption,2025-07-06 03:15:00,0.02693,0.06980256
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 03:30:00,03:45,2.732,A,Consumption,2025-07-06 03:30:00,0.026789999999999998,0.07319028
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 03:45:00,04:00,2.804,A,Consumption,2025-07-06 03:45:00,0.02625,0.07360499999999999
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 04:00:00,04:15,2.348,A,Consumption,2025-07-06 04:00:00,0.026609999999999998,0.06248027999999999
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 04:15:00,04:30,2.628,A,Consumption,2025-07-06 04:15:00,0.02641,0.06940548
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 04:30:00,04:45,2.436,A,Consumption,2025-07-06 04:30:00,0.02989,0.07281204
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 04:45:00,05:00,2.584,A,Consumption,2025-07-06 04:45:00,0.027809999999999998,0.07186104
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 05:00:00,05:15,2.4,A,Consumption,2025-07-06 05:00:00,0.02723,0.065352
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 05:15:00,05:30,2.316,A,Consumption,2025-07-06 05:15:00,0.026359999999999998,0.06104975999999999
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 05:30:00,05:45,2.448,A,Consumption,2025-07-06 05:30:00,0.025920000000000002,0.06345216000000001
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 05:45:00,06:00,2.34,A,Consumption,2025-07-06 05:45:00,0.02561,0.0599274
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 06:00:00,06:15,2.46,A,Consumption,2025-07-06 06:00:00,0.02557,0.06290219999999999
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 06:15:00,06:30,2.788,A,Consumption,2025-07-06 06:15:00,0.02469,0.06883571999999999
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 06:30:00,06:45,2.432,A,Consumption,2025-07-06 06:30:00,0.024390000000000002,0.059316480000000005
1008901010120781220100,2025-07-06,07/06/2025 08:09:00,0 days 06:45:00,07:00,2.18,A,Consumption,2025-07-06 06:45:00,0.024059999999999998,0.0524508
