ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION,Interval Start,Settlement Point Price,COST
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 00:00:00,00:15,0.104,A,Consumption,2025-07-06 00:00:00,0.03089,0.0032125599999999997
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 00:15:00,00:30,0.107,A,Consumption,2025-07-06 00:15:00,0.028210000000000002,0.00301847
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 00:30:00,00:45,0.098,A,Consumption,2025-07-06 00:30:00,0.02666,0.00261268
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 00:45:00,01:00,0.086,A,Consumption,2025-07-06 00:45:00,0.026449999999999998,0.0022746999999999997
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 01:00:00,01:15,0.085,A,Consumption,2025-07-06 01:00:00,0.02583,0.00219555
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 01:15:00,01:30,0.076,A,Consumption,2025-07-06 01:15:00,0.02573,0.00195548
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 01:30:00,01:45,0.08,A,Consumption,2025-07-06 01:30:00,0.02693,0.0021544
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 01:45:00,02:00,0.075,A,Consumption,2025-07-06 01:45:00,0.02684,0.002013
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 02:00:00,02:15,0.086,A,Consumption,2025-07-06 02:00:00,0.02684,0.0023082399999999996
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 02:15:00,02:30,0.078,A,Consumption,2025-07-06 02:15:00,0.026420000000000003,0.00206076
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 02:30:00,02:45,0.076,A,Consumption,2025-07-06 02:30:00,0.027280000000000002,0.0020732800000000003
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 02:45:00,03:00,0.081,A,Consumption,2025-07-06 02:45:00,0.02686,0.00217566
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 03:00:00,03:15,0.071,A,Consumption,2025-07-06 03:00:00,0.02702,0.0019184199999999997
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 03:15:00,03:30,0.079,A,Consumption,2025-07-06 03:15:00,0.02693,0.00212747
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 03:30:00,03:45,0.068,A,Consumption,2025-07-06 03:30:00,0.026789999999999998,0.00182172
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 03:45:00,04:00,0.079,A,Consumption,2025-07-06 03:45:00,0.02625,0.00207375
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 04:00:00,04:15,0.072,A,Consumption,2025-07-06 04:00:00,0.026609999999999998,0.0019159199999999998
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 04:15:00,04:30,0.075,A,Consumption,2025-07-06 04:15:00,0.02641,0.00198075
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 04:30:00,04:45,0.075,A,Consumption,2025-07-06 04:30:00,0.02989,0.00224175
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 04:45:00,05:00,0.071,A,Consumption,2025-07-06 04:45:00,0.027809999999999998,0.0019745099999999996
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 05:00:00,05:15,0.078,A,Consumption,2025-07-06 05:00:00,0.02723,0.00212394
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 05:15:00,05:30,0.068,A,Consumption,2025-07-06 05:15:00,0.026359999999999998,0.00179248
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 05:30:00,05:45,0.078,A,Consumption,2025-07-06 05:30:00,0.025920000000000002,0.00202176
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 05:45:00,06:00,0.069,A,Consumption,2025-07-06 05:45:00,0.02561,0.0017670900000000002
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 06:00:00,06:15,0.077,A,Consumption,2025-07-06 06:00:00,0.02557,0.00196889
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 06:15:00,06:30,0.068,A,Consumption,2025-07-06 06:15:00,0.02469,0.0016789200000000002
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 06:30:00,06:45,0.069,A,Consumption,2025-07-06 06:30:00,0.024390000000000002,0.0016829100000000004
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 06:45:00,07:00,0.071,A,Consumption,2025-07-06 06:45:00,0.024059999999999998,0.0017082599999999996
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 07:00:00,07:15,0.064,A,Consumption,2025-07-06 07:00:00,0.02393,0.00153152
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 07:15:00,07:30,0.071,A,Consumption,2025-07-06 07:15:00,0.023350000000000003,0.00165785
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 07:30:00,07:45,0.063,A,Consumption,2025-07-06 07:30:00,0.02234,0.00140742
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 07:45:00,08:00,0.074,A,Consumption,2025-07-06 07:45:00,0.02221,0.00164354
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 08:00:00,08:15,0.069,A,Consumption,2025-07-06 08:00:00,0.023280000000000002,0.0016063200000000003
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 08:15:00,08:30,0.145,A,Consumption,2025-07-06 08:15:00,0.02234,0.0032392999999999996
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 08:30:00,08:45,0.115,A,Consumption,2025-07-06 08:30:00,0.022170000000000002,0.0025495500000000003
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 08:45:00,09:00,0.103,A,Consumption,2025-07-06 08:45:00,0.022359999999999998,0.0023030799999999995
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 09:00:00,09:15,0.203,A,Consumption,2025-07-06 09:00:00,0.023149999999999997,0.00469945
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 09:15:00,09:30,0.355,A,Consumption,2025-07-06 09:15:00,0.02382,0.0084561
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 09:30:00,09:45,0.518,A,Consumption,2025-07-06 09:30:00,0.024030000000000003,0.012447540000000002
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 09:45:00,10:00,0.96,A,Consumption,2025-07-06 09:45:00,0.02299,0.0220704
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 10:00:00,10:15,0.796,A,Consumption,2025-07-06 10:00:00,0.02307,0.01836372
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 10:15:00,10:30,0.612,A,Consumption,2025-07-06 10:15:00,0.0237,0.014504399999999999
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 10:30:00,10:45,0.612,A,Consumption,2025-07-06 10:30:00,0.022940000000000002,0.014039280000000001
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 10:45:00,11:00,0.603,A,Consumption,2025-07-06 10:45:00,0.02268,0.013676039999999999
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 11:00:00,11:15,0.567,A,Consumption,2025-07-06 11:00:00,0.02341,0.013273469999999999
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 11:15:00,11:30,0.56,A,Consumption,2025-07-06 11:15:00,0.0224,0.012544000000000001
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 11:30:00,11:45,0.558,A,Consumption,2025-07-06 11:30:00,0.022920000000000003,0.012789360000000003
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 11:45:00,12:00,0.553,A,Consumption,2025-07-06 11:45:00,0.02273,0.012569690000000001
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 12:00:00,12:15,0.55,A,Consumption,2025-07-06 12:00:00,0.022940000000000002,0.012617000000000001
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 12:15:00,12:30,0.551,A,Consumption,2025-07-06 12:15:00,0.02231,0.012292810000000001
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 12:30:00,12:45,0.546,A,Consumption,2025-07-06 12:30:00,0.02336,0.01275456
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 12:45:00,13:00,0.543,A,Consumption,2025-07-06 12:45:00,0.02373,0.012885390000000002
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 13:00:00,13:15,0.541,A,Consumption,2025-07-06 13:00:00,0.02613,0.01413633
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 13:15:00,13:30,0.536,A,Consumption,2025-07-06 13:15:00,0.026019999999999998,0.01394672
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 13:30:00,13:45,0.538,A,Consumption,2025-07-06 13:30:00,0.02504,0.01347152
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 13:45:00,14:00,0.534,A,Consumption,2025-07-06 13:45:00,0.02533,0.01352622
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 14:00:00,14:15,0.535,A,Consumption,2025-07-06 14:00:00,0.02467,0.01319845
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 14:15:00,14:30,0.559,A,Consumption,2025-07-06 14:15:00,0.02524,0.01410916
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 14:30:00,14:45,0.621,A,Consumption,2025-07-06 14:30:00,0.02845,0.01766745
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 14:45:00,15:00,0.624,A,Consumption,2025-07-06 14:45:00,0.02682,0.01673568
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 15:00:00,15:15,0.593,A,Consumption,2025-07-06 15:00:00,0.02675,0.01586275
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 15:15:00,15:30,0.647,A,Consumption,2025-07-06 15:15:00,0.02523,0.01632381
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 15:30:00,15:45,0.975,A,Consumption,2025-07-06 15:30:00,0.02576,0.025116
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 15:45:00,16:00,0.751,A,Consumption,2025-07-06 15:45:00,0.02487,0.01867737
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 16:00:00,16:15,0.602,A,Consumption,2025-07-06 16:00:00,0.0246,0.0148092
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 16:15:00,16:30,0.571,A,Consumption,2025-07-06 16:15:00,0.02631,0.015023009999999998
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 16:30:00,16:45,0.57,A,Consumption,2025-07-06 16:30:00,0.02568,0.014637599999999999
1008901025003740860123,2025-07-06,07/06/2025 10:18:23,0 days 16:45:00,17:00,0.571,A,Consumption,2025-07-06 16:45:00,0.02922,0.016684619999999997
