ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,00:00,00:15,1.297,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,00:15,00:30,1.320,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,00:30,00:45,1.318,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,00:45,01:00,1.275,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,01:00,01:15,1.203,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,01:15,01:30,0.983,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,01:30,01:45,0.108,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,01:45,02:00,0.123,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,02:00,02:15,0.121,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,02:15,02:30,0.310,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,02:30,02:45,1.196,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,02:45,03:00,0.836,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,03:00,03:15,0.122,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,03:15,03:30,0.107,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,03:30,03:45,0.108,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,03:45,04:00,0.151,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,04:00,04:15,0.200,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,04:15,04:30,0.338,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,04:30,04:45,1.214,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,04:45,05:00,0.494,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,05:00,05:15,0.111,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,05:15,05:30,0.126,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,05:30,05:45,0.111,A,Consumption
'1008901008117871625100,07/06/2025,07/06/2025 12:36:02,05:45,06:00,0.353,A,Consumption
