ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,00:00,00:15,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,00:15,00:30,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,00:30,00:45,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,00:45,01:00,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,01:00,01:15,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,01:15,01:30,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,01:30,01:45,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,01:45,02:00,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,02:00,02:15,2.448,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,02:15,02:30,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,02:30,02:45,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,02:45,03:00,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,03:00,03:15,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,03:15,03:30,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,03:30,03:45,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,03:45,04:00,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,04:00,04:15,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,04:15,04:30,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,04:30,04:45,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,04:45,05:00,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,05:00,05:15,2.448,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,05:15,05:30,2.160,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,05:30,05:45,2.088,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,05:45,06:00,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,06:00,06:15,2.952,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,06:15,06:30,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,06:30,06:45,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,06:45,07:00,2.160,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,07:00,07:15,2.160,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,07:15,07:30,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,07:30,07:45,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,07:45,08:00,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,08:00,08:15,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,08:15,08:30,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,08:30,08:45,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,08:45,09:00,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,09:00,09:15,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,09:15,09:30,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,09:30,09:45,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,09:45,10:00,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,10:00,10:15,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,10:15,10:30,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,10:30,10:45,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,10:45,11:00,2.664,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,11:00,11:15,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,11:15,11:30,2.232,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,11:30,11:45,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,11:45,12:00,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,12:00,12:15,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,12:15,12:30,2.592,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,12:30,12:45,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,12:45,13:00,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,13:00,13:15,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,13:15,13:30,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,13:30,13:45,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,13:45,14:00,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,14:00,14:15,2.736,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,14:15,14:30,2.520,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,14:30,14:45,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,14:45,15:00,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,15:00,15:15,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,15:15,15:30,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,15:30,15:45,2.448,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,15:45,16:00,2.664,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,16:00,16:15,2.664,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,16:15,16:30,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,16:30,16:45,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,16:45,17:00,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,17:00,17:15,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,17:15,17:30,2.376,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,17:30,17:45,2.664,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,17:45,18:00,2.664,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,18:00,18:15,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,18:15,18:30,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,18:30,18:45,2.304,A,Consumption
'1008901051393282544100,07/06/2025,07/06/2025 08:24:01,18:45,19:00,2.376,A,Consumption
