ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,00:00,00:15,0.078,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,00:15,00:30,0.083,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,00:30,00:45,0.090,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,00:45,01:00,0.076,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,01:00,01:15,1.004,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,01:15,01:30,2.142,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,01:30,01:45,0.935,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,01:45,02:00,0.467,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,02:00,02:15,0.495,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,02:15,02:30,1.450,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,02:30,02:45,0.766,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,02:45,03:00,0.458,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,03:00,03:15,0.445,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,03:15,03:30,0.469,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,03:30,03:45,0.450,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,03:45,04:00,0.450,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,04:00,04:15,0.864,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,04:15,04:30,1.357,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,04:30,04:45,0.445,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,04:45,05:00,0.441,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,05:00,05:15,0.421,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,05:15,05:30,0.436,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,05:30,05:45,0.434,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,05:45,06:00,0.426,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,06:00,06:15,0.427,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,06:15,06:30,0.416,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,06:30,06:45,1.498,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,06:45,07:00,0.721,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,07:00,07:15,0.416,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,07:15,07:30,0.415,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,07:30,07:45,0.430,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,07:45,08:00,0.412,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,08:00,08:15,0.412,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,08:15,08:30,0.429,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,08:30,08:45,0.860,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,08:45,09:00,1.165,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,09:00,09:15,0.070,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,09:15,09:30,0.050,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,09:30,09:45,0.049,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,09:45,10:00,0.065,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,10:00,10:15,0.462,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,10:15,10:30,1.311,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,10:30,10:45,0.473,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,10:45,11:00,0.059,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,11:00,11:15,0.064,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,11:15,11:30,1.025,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,11:30,11:45,1.327,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,11:45,12:00,0.056,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,12:00,12:15,0.073,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,12:15,12:30,1.185,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,12:30,12:45,1.386,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,12:45,13:00,0.239,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,13:00,13:15,0.071,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,13:15,13:30,1.547,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,13:30,13:45,1.368,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,13:45,14:00,1.268,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,14:00,14:15,0.971,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,14:15,14:30,0.928,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,14:30,14:45,1.031,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,14:45,15:00,0.736,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,15:00,15:15,1.084,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,15:15,15:30,0.602,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,15:30,15:45,1.150,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,15:45,16:00,0.467,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,16:00,16:15,1.250,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,16:15,16:30,0.308,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,16:30,16:45,1.375,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,16:45,17:00,0.409,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,17:00,17:15,1.254,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,17:15,17:30,0.188,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,17:30,17:45,0.063,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,17:45,18:00,0.197,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,18:00,18:15,1.315,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,18:15,18:30,0.334,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,18:30,18:45,1.112,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,18:45,19:00,0.063,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,19:00,19:15,0.056,A,Consumption
'1008901023800418450100,07/06/2025,07/06/2025 10:30:30,19:15,19:30,0.052,A,Consumption
