ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,15:45,16:00,1.690,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,16:00,16:15,1.392,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,16:15,16:30,1.555,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,16:30,16:45,1.738,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,16:45,17:00,1.181,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,17:00,17:15,2.141,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,17:15,17:30,1.834,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,17:30,17:45,2.246,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,17:45,18:00,1.546,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,18:00,18:15,1.219,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,18:15,18:30,2.035,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,18:30,18:45,1.056,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,18:45,19:00,1.661,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,19:00,19:15,1.440,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,19:15,19:30,1.450,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,19:30,19:45,1.286,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,19:45,20:00,1.824,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,20:00,20:15,1.152,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,20:15,20:30,1.181,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,20:30,20:45,1.603,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,20:45,21:00,1.344,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,21:00,21:15,1.037,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,21:15,21:30,1.248,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,21:30,21:45,1.315,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,21:45,22:00,1.478,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,22:00,22:15,0.864,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,22:15,22:30,0.989,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,22:30,22:45,1.306,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,22:45,23:00,1.008,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,23:00,23:15,0.893,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,23:15,23:30,1.027,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,23:30,23:45,1.277,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,23:45,00:00,0.970,A,Consumption
