ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,00:00,00:15,0.631,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,00:15,00:30,0.643,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,00:30,00:45,0.805,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,00:45,01:00,0.632,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,01:00,01:15,0.412,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,01:15,01:30,0.117,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,01:30,01:45,0.116,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,01:45,02:00,0.111,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,02:00,02:15,0.112,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,02:15,02:30,0.112,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,02:30,02:45,0.115,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,02:45,03:00,0.780,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,03:00,03:15,0.670,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,03:15,03:30,0.110,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,03:30,03:45,0.113,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,03:45,04:00,0.113,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,04:00,04:15,0.315,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,04:15,04:30,0.633,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,04:30,04:45,0.617,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,04:45,05:00,0.618,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,05:00,05:15,0.631,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,05:15,05:30,0.629,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,05:30,05:45,0.619,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,05:45,06:00,0.620,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,06:00,06:15,0.402,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,06:15,06:30,0.103,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,06:30,06:45,0.105,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,06:45,07:00,0.104,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,07:00,07:15,0.103,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,07:15,07:30,0.102,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,07:30,07:45,0.103,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,07:45,08:00,0.176,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,08:00,08:15,0.209,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,08:15,08:30,0.101,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,08:30,08:45,0.099,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,08:45,09:00,0.713,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,09:00,09:15,1.205,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,09:15,09:30,0.739,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,09:30,09:45,0.674,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,09:45,10:00,0.649,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,10:00,10:15,0.628,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,10:15,10:30,1.050,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,10:30,10:45,1.546,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,10:45,11:00,0.965,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,11:00,11:15,0.641,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,11:15,11:30,0.907,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,11:30,11:45,0.860,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,11:45,12:00,0.705,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,12:00,12:15,1.478,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,12:15,12:30,1.347,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,12:30,12:45,0.664,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,12:45,13:00,0.332,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,13:00,13:15,0.445,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,13:15,13:30,0.533,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,13:30,13:45,1.221,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,13:45,14:00,1.488,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,14:00,14:15,1.546,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,14:15,14:30,1.405,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,14:30,14:45,0.663,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,14:45,15:00,0.702,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,15:00,15:15,0.901,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,15:15,15:30,1.575,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,15:30,15:45,1.368,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,15:45,16:00,0.676,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,16:00,16:15,0.895,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,16:15,16:30,1.547,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,16:30,16:45,1.363,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,16:45,17:00,2.028,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,17:00,17:15,1.581,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,17:15,17:30,1.613,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,17:30,17:45,1.264,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,17:45,18:00,0.974,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,18:00,18:15,1.250,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,18:15,18:30,1.578,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,18:30,18:45,1.620,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,18:45,19:00,1.739,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,19:00,19:15,2.272,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,19:15,19:30,2.196,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,19:30,19:45,1.766,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,19:45,20:00,1.495,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,20:00,20:15,1.212,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,20:15,20:30,0.920,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,20:30,20:45,0.936,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,20:45,21:00,0.938,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,21:00,21:15,1.680,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,21:15,21:30,1.675,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,21:30,21:45,1.214,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,21:45,22:00,0.595,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,22:00,22:15,0.644,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,22:15,22:30,0.825,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,22:30,22:45,0.733,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,22:45,23:00,0.503,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,23:00,23:15,0.717,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,23:15,23:30,1.103,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,23:30,23:45,1.167,A,Consumption
'1008901023808838090100,07/06/2025,07/06/2025 08:42:21,23:45,00:00,0.888,A,Consumption
