ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,00:00,00:15,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,00:15,00:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,00:30,00:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,00:45,01:00,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,01:00,01:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,01:15,01:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,01:30,01:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,01:45,02:00,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,02:00,02:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,02:15,02:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,02:30,02:45,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,02:45,03:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,03:00,03:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,03:15,03:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,03:30,03:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,03:45,04:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,04:00,04:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,04:15,04:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,04:30,04:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,04:45,05:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,05:00,05:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,05:15,05:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,05:30,05:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,05:45,06:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,06:00,06:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,06:15,06:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,06:30,06:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,06:45,07:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,07:00,07:15,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,07:15,07:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,07:30,07:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,07:45,08:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,08:00,08:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,08:15,08:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,08:30,08:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,08:45,09:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,09:00,09:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,09:15,09:30,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,09:30,09:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,09:45,10:00,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,10:00,10:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,10:15,10:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,10:30,10:45,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,10:45,11:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,11:00,11:15,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,11:15,11:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,11:30,11:45,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,11:45,12:00,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,12:00,12:15,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,12:15,12:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,12:30,12:45,0.036,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,12:45,13:00,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,13:00,13:15,0.044,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,13:15,13:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,13:30,13:45,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,13:45,14:00,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,14:00,14:15,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,14:15,14:30,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,14:30,14:45,0.040,A,Consumption
'1008901019193378626100,07/06/2025,07/06/2025 09:06:11,14:45,15:00,0.040,A,Consumption
