ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,00:00,00:15,0.194,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,00:15,00:30,0.105,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,00:30,00:45,0.157,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,00:45,01:00,0.244,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,01:00,01:15,0.232,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,01:15,01:30,0.136,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,01:30,01:45,0.127,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,01:45,02:00,0.217,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,02:00,02:15,0.207,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,02:15,02:30,0.096,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,02:30,02:45,0.136,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,02:45,03:00,0.194,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,03:00,03:15,0.112,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,03:15,03:30,0.091,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,03:30,03:45,0.165,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,03:45,04:00,0.016,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,04:00,04:15,0.172,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,04:15,04:30,0.109,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,04:30,04:45,0.074,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,04:45,05:00,0.169,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,05:00,05:15,0.015,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,05:15,05:30,0.165,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,05:30,05:45,0.019,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,05:45,06:00,0.159,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,06:00,06:15,0.026,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,06:15,06:30,0.153,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,06:30,06:45,0.028,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,06:45,07:00,0.161,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,07:00,07:15,0.027,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,07:15,07:30,0.161,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,07:30,07:45,0.065,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,07:45,08:00,0.122,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,08:00,08:15,0.146,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,08:15,08:30,0.062,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,08:30,08:45,0.214,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,08:45,09:00,0.111,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,09:00,09:15,0.153,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,09:15,09:30,0.255,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,09:30,09:45,0.110,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,09:45,10:00,0.164,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,10:00,10:15,0.240,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,10:15,10:30,0.189,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,10:30,10:45,0.105,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,10:45,11:00,0.241,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,11:00,11:15,0.274,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,11:15,11:30,0.222,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,11:30,11:45,0.192,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,11:45,12:00,0.252,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,12:00,12:15,0.357,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,12:15,12:30,0.254,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,12:30,12:45,0.239,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,12:45,13:00,0.421,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,13:00,13:15,0.252,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,13:15,13:30,0.325,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,13:30,13:45,0.382,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,13:45,14:00,0.302,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,14:00,14:15,0.400,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,14:15,14:30,0.443,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,14:30,14:45,0.278,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,14:45,15:00,0.444,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,15:00,15:15,0.447,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,15:15,15:30,0.441,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,15:30,15:45,0.300,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,15:45,16:00,0.442,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,16:00,16:15,0.431,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,16:15,16:30,0.435,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,16:30,16:45,0.439,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,16:45,17:00,0.441,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,17:00,17:15,0.435,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,17:15,17:30,0.437,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,17:30,17:45,0.432,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,17:45,18:00,0.426,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,18:00,18:15,0.437,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,18:15,18:30,0.433,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,18:30,18:45,0.292,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,18:45,19:00,0.429,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,19:00,19:15,0.426,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,19:15,19:30,0.412,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,19:30,19:45,0.280,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,19:45,20:00,0.419,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,20:00,20:15,0.258,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,20:15,20:30,0.416,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,20:30,20:45,0.256,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,20:45,21:00,0.275,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,21:00,21:15,0.366,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,21:15,21:30,0.231,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,21:30,21:45,0.254,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,21:45,22:00,0.341,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,22:00,22:15,0.384,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,22:15,22:30,0.325,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,22:30,22:45,0.421,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,22:45,23:00,0.274,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,23:00,23:15,0.281,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,23:15,23:30,0.369,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,23:30,23:45,0.290,A,Consumption
'1008901025003740870123,07/06/2025,07/06/2025 10:42:19,23:45,00:00,0.236,A,Consumption
