ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,00:00,00:15,0.700,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,00:15,00:30,0.292,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,00:30,00:45,0.688,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,00:45,01:00,0.264,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,01:00,01:15,0.704,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,01:15,01:30,0.156,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,01:30,01:45,0.556,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,01:45,02:00,0.120,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,02:00,02:15,0.556,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,02:15,02:30,0.132,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,02:30,02:45,0.560,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,02:45,03:00,0.156,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,03:00,03:15,0.384,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,03:15,03:30,0.252,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,03:30,03:45,0.124,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,03:45,04:00,0.552,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,04:00,04:15,0.136,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,04:15,04:30,0.480,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,04:30,04:45,0.184,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,04:45,05:00,0.116,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,05:00,05:15,0.524,A,Consumption
'1008901025002527680122,07/06/2025,07/06/2025 09:48:20,05:15,05:30,0.148,A,Consumption
