ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,00:00,00:15,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,00:15,00:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,00:30,00:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,00:45,01:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,01:00,01:15,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,01:15,01:30,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,01:30,01:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,01:45,02:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,02:00,02:15,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,02:15,02:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,02:30,02:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,02:45,03:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,03:00,03:15,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,03:15,03:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,03:30,03:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,03:45,04:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,04:00,04:15,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,04:15,04:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,04:30,04:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,04:45,05:00,0.120,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,05:00,05:15,0.108,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,05:15,05:30,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,05:30,05:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,05:45,06:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,06:00,06:15,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,06:15,06:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,06:30,06:45,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,06:45,07:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,07:00,07:15,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,07:15,07:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,07:30,07:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,07:45,08:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,08:00,08:15,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,08:15,08:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,08:30,08:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,08:45,09:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,09:00,09:15,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,09:15,09:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,09:30,09:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,09:45,10:00,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,10:00,10:15,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,10:15,10:30,0.116,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,10:30,10:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,10:45,11:00,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,11:00,11:15,0.108,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,11:15,11:30,0.108,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,11:30,11:45,0.112,A,Consumption
'1008901019193378625100,07/06/2025,07/06/2025 11:00:02,11:45,12:00,0.112,A,Consumption
