ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10204049791473565,07/06/2025,07/09/2025 11:38:27,00:00,00:15,343.680,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,00:15,00:30,346.560,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,00:30,00:45,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,00:45,01:00,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,01:00,01:15,349.440,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,01:15,01:30,347.520,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,01:30,01:45,346.080,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,01:45,02:00,344.640,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,02:00,02:15,344.640,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,02:15,02:30,343.680,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,02:30,02:45,343.680,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,02:45,03:00,343.200,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,03:00,03:15,342.720,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,03:15,03:30,343.200,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,03:30,03:45,342.720,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,03:45,04:00,342.720,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,04:00,04:15,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,04:15,04:30,341.760,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,04:30,04:45,341.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,04:45,05:00,340.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,05:00,05:15,335.040,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,05:15,05:30,340.320,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,05:30,05:45,338.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,05:45,06:00,339.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,06:00,06:15,338.400,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,06:15,06:30,338.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,06:30,06:45,338.400,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,06:45,07:00,337.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,07:00,07:15,337.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,07:15,07:30,337.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,07:30,07:45,338.400,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,07:45,08:00,339.360,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,08:00,08:15,338.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,08:15,08:30,339.360,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,08:30,08:45,339.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,08:45,09:00,340.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,09:00,09:15,341.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,09:15,09:30,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,09:30,09:45,343.200,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,09:45,10:00,343.200,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,10:00,10:15,344.640,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,10:15,10:30,346.080,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,10:30,10:45,347.040,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,10:45,11:00,345.600,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,11:00,11:15,339.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,11:15,11:30,340.320,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,11:30,11:45,340.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,11:45,12:00,341.760,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,12:00,12:15,340.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,12:15,12:30,341.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,12:30,12:45,341.760,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,12:45,13:00,341.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,13:00,13:15,343.200,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,13:15,13:30,341.760,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,13:30,13:45,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,13:45,14:00,341.760,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,14:00,14:15,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,14:15,14:30,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,14:30,14:45,342.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,14:45,15:00,344.160,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,15:00,15:15,347.520,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,15:15,15:30,349.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,15:30,15:45,352.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,15:45,16:00,357.600,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,16:00,16:15,353.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,16:15,16:30,354.240,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,16:30,16:45,355.680,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,16:45,17:00,363.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,17:00,17:15,266.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,17:15,17:30,255.360,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,17:30,17:45,349.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,17:45,18:00,350.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,18:00,18:15,352.320,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,18:15,18:30,352.320,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,18:30,18:45,350.400,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,18:45,19:00,348.480,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,19:00,19:15,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,19:15,19:30,347.520,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,19:30,19:45,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,19:45,20:00,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,20:00,20:15,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,20:15,20:30,348.000,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,20:30,20:45,347.040,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,20:45,21:00,349.440,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,21:00,21:15,352.320,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,21:15,21:30,353.280,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,21:30,21:45,352.800,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,21:45,22:00,351.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,22:00,22:15,351.840,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,22:15,22:30,350.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,22:30,22:45,350.400,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,22:45,23:00,349.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,23:00,23:15,350.880,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,23:15,23:30,349.440,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,23:30,23:45,349.920,A,Consumption
'10204049791473565,07/06/2025,07/09/2025 11:38:27,23:45,00:00,349.440,A,Consumption
