ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,00:00,00:15,0.016,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,00:15,00:30,0.048,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,00:30,00:45,0.238,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,00:45,01:00,0.246,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,01:00,01:15,0.053,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,01:15,01:30,0.095,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,01:30,01:45,0.007,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,01:45,02:00,0.045,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,02:00,02:15,0.059,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,02:15,02:30,0.058,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,02:30,02:45,0.054,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,02:45,03:00,0.051,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,03:00,03:15,0.372,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,03:15,03:30,0.105,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,03:30,03:45,0.028,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,03:45,04:00,0.050,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,04:00,04:15,0.033,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,04:15,04:30,0.017,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,04:30,04:45,0.051,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,04:45,05:00,0.039,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,05:00,05:15,0.009,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,05:15,05:30,0.050,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,05:30,05:45,0.045,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,05:45,06:00,0.009,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,06:00,06:15,0.043,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,06:15,06:30,0.049,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,06:30,06:45,0.011,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,06:45,07:00,0.118,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,07:00,07:15,0.371,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,07:15,07:30,0.012,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,07:30,07:45,0.030,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,07:45,08:00,0.044,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,08:00,08:15,0.010,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,08:15,08:30,0.029,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,08:30,08:45,0.045,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,08:45,09:00,0.012,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,09:00,09:15,0.027,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,09:15,09:30,0.048,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,09:30,09:45,0.018,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,09:45,10:00,0.038,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,10:00,10:15,0.221,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,10:15,10:30,0.307,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,10:30,10:45,0.033,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,10:45,11:00,0.056,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,11:00,11:15,0.029,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,11:15,11:30,0.034,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,11:30,11:45,0.057,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,11:45,12:00,0.031,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,12:00,12:15,0.032,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,12:15,12:30,0.057,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,12:30,12:45,0.274,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,12:45,13:00,0.248,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,13:00,13:15,0.056,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,13:15,13:30,0.035,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,13:30,13:45,0.030,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,13:45,14:00,0.057,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,14:00,14:15,0.036,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,14:15,14:30,0.028,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,14:30,14:45,0.321,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,14:45,15:00,0.284,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,15:00,15:15,0.024,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,15:15,15:30,0.057,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,15:30,15:45,0.040,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,15:45,16:00,0.023,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,16:00,16:15,0.213,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,16:15,16:30,0.390,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,16:30,16:45,0.019,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,16:45,17:00,0.084,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,17:00,17:15,0.068,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,17:15,17:30,0.023,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,17:30,17:45,0.211,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,17:45,18:00,0.401,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,18:00,18:15,0.062,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,18:15,18:30,0.058,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,18:30,18:45,0.057,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,18:45,19:00,0.173,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,19:00,19:15,0.321,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,19:15,19:30,0.051,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,19:30,19:45,0.056,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,19:45,20:00,0.022,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,20:00,20:15,0.045,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,20:15,20:30,0.056,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,20:30,20:45,0.277,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,20:45,21:00,0.201,A,Consumption
'1008901010120771555100,07/06/2025,07/06/2025 10:18:06,21:00,21:15,0.056,A,Consumption
