ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,00:00,00:15,0.104,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,00:15,00:30,0.107,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,00:30,00:45,0.098,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,00:45,01:00,0.086,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,01:00,01:15,0.085,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,01:15,01:30,0.076,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,01:30,01:45,0.080,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,01:45,02:00,0.075,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,02:00,02:15,0.086,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,02:15,02:30,0.078,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,02:30,02:45,0.076,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,02:45,03:00,0.081,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,03:00,03:15,0.071,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,03:15,03:30,0.079,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,03:30,03:45,0.068,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,03:45,04:00,0.079,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,04:00,04:15,0.072,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,04:15,04:30,0.075,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,04:30,04:45,0.075,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,04:45,05:00,0.071,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,05:00,05:15,0.078,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,05:15,05:30,0.068,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,05:30,05:45,0.078,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,05:45,06:00,0.069,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,06:00,06:15,0.077,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,06:15,06:30,0.068,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,06:30,06:45,0.069,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,06:45,07:00,0.071,A,Consumption
'1008901025003740860123,07/06/2025,07/06/2025 10:18:23,07:00,07:15,0.064,A,Consumption
