ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,00:00,00:15,0.038,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,00:15,00:30,0.269,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,00:30,00:45,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,00:45,01:00,0.265,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,01:00,01:15,0.032,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,01:15,01:30,0.049,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,01:30,01:45,0.266,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,01:45,02:00,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,02:00,02:15,0.040,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,02:15,02:30,0.231,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,02:30,02:45,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,02:45,03:00,0.052,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,03:00,03:15,0.260,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,03:15,03:30,0.031,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,03:30,03:45,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,03:45,04:00,0.052,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,04:00,04:15,0.050,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,04:15,04:30,0.038,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,04:30,04:45,0.108,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,04:45,05:00,0.196,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,05:00,05:15,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,05:15,05:30,0.046,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,05:30,05:45,0.034,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,05:45,06:00,0.051,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,06:00,06:15,0.052,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,06:15,06:30,0.262,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,06:30,06:45,0.034,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,06:45,07:00,0.044,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,07:00,07:15,0.049,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,07:15,07:30,0.049,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,07:30,07:45,0.039,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,07:45,08:00,0.037,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,08:00,08:15,0.049,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,08:15,08:30,0.205,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,08:30,08:45,0.107,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,08:45,09:00,0.029,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,09:00,09:15,0.048,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,09:15,09:30,0.070,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,09:30,09:45,0.260,A,Consumption
'1008901023901322010117,07/06/2025,07/06/2025 13:03:01,09:45,10:00,0.036,A,Consumption
