ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,00:00,00:15,0.103,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,00:15,00:30,0.704,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,00:30,00:45,0.709,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,00:45,01:00,0.677,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,01:00,01:15,0.108,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,01:15,01:30,0.522,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,01:30,01:45,0.095,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,01:45,02:00,0.460,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,02:00,02:15,0.065,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,02:15,02:30,0.584,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,02:30,02:45,0.693,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,02:45,03:00,0.692,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,03:00,03:15,0.687,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,03:15,03:30,0.781,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,03:30,03:45,0.698,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,03:45,04:00,0.660,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,04:00,04:15,0.695,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,04:15,04:30,0.701,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,04:30,04:45,0.612,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,04:45,05:00,0.455,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,05:00,05:15,0.524,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,05:15,05:30,0.461,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,05:30,05:45,0.436,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,05:45,06:00,0.371,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,06:00,06:15,0.385,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,06:15,06:30,0.379,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,06:30,06:45,0.371,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,06:45,07:00,0.291,A,Consumption
'1008901025001032000121,07/06/2025,07/06/2025 13:06:18,07:00,07:15,0.276,A,Consumption
