ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,00:00,00:15,0.544,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,00:15,00:30,0.243,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,00:30,00:45,0.286,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,00:45,01:00,0.454,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,01:00,01:15,0.241,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,01:15,01:30,0.389,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,01:30,01:45,0.269,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,01:45,02:00,0.238,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,02:00,02:15,0.344,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,02:15,02:30,0.264,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,02:30,02:45,0.452,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,02:45,03:00,0.134,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,03:00,03:15,0.245,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,03:15,03:30,0.376,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,03:30,03:45,0.233,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,03:45,04:00,0.132,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,04:00,04:15,0.448,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,04:15,04:30,0.153,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,04:30,04:45,0.130,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,04:45,05:00,0.427,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,05:00,05:15,0.165,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,05:15,05:30,0.145,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,05:30,05:45,0.220,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,05:45,06:00,0.358,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,06:00,06:15,0.159,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,06:15,06:30,0.218,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,06:30,06:45,0.133,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,06:45,07:00,0.274,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,07:00,07:15,0.323,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,07:15,07:30,0.156,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,07:30,07:45,0.128,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,07:45,08:00,0.179,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,08:00,08:15,0.242,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,08:15,08:30,0.142,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,08:30,08:45,0.278,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,08:45,09:00,0.408,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,09:00,09:15,0.680,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,09:15,09:30,0.611,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,09:30,09:45,0.813,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,09:45,10:00,0.786,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,10:00,10:15,0.826,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,10:15,10:30,0.763,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,10:30,10:45,0.876,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,10:45,11:00,0.919,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,11:00,11:15,0.719,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,11:15,11:30,0.704,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,11:30,11:45,0.694,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,11:45,12:00,0.683,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,12:00,12:15,1.152,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,12:15,12:30,0.852,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,12:30,12:45,0.951,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,12:45,13:00,1.145,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,13:00,13:15,0.977,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,13:15,13:30,1.151,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,13:30,13:45,1.202,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,13:45,14:00,1.145,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,14:00,14:15,0.950,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,14:15,14:30,1.112,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,14:30,14:45,0.831,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,14:45,15:00,0.538,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,15:00,15:15,1.039,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,15:15,15:30,1.111,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,15:30,15:45,1.059,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,15:45,16:00,0.980,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,16:00,16:15,0.932,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,16:15,16:30,1.077,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,16:30,16:45,0.751,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,16:45,17:00,0.763,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,17:00,17:15,0.917,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,17:15,17:30,0.869,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,17:30,17:45,0.637,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,17:45,18:00,0.772,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,18:00,18:15,0.504,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,18:15,18:30,0.565,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,18:30,18:45,0.620,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,18:45,19:00,0.554,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,19:00,19:15,0.993,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,19:15,19:30,0.892,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,19:30,19:45,0.776,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,19:45,20:00,0.694,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,20:00,20:15,1.009,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,20:15,20:30,1.142,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,20:30,20:45,0.923,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,20:45,21:00,0.809,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,21:00,21:15,0.658,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,21:15,21:30,0.767,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,21:30,21:45,0.735,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,21:45,22:00,0.678,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,22:00,22:15,0.729,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,22:15,22:30,0.534,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,22:30,22:45,0.621,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,22:45,23:00,0.440,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,23:00,23:15,0.549,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,23:15,23:30,0.583,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,23:30,23:45,0.525,A,Consumption
'1008901023804977070100,07/06/2025,07/06/2025 10:21:11,23:45,00:00,0.454,A,Consumption
